店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
暁 新宿店,03-4236-1108,,東京都,新宿区新宿,3-20-5,新宿ニューサンパークビル4F,https://ggxg812.gorp.jp/,True
honda 赤坂店,03-6435-5578,,東京都,港区赤坂,7-10-9,第四文成ビル1F,https://honda-akasaka.gorp.jp/,True
完全個室居酒屋 炉ばた 一心 秋葉原店,03-6832-1363,,東京都,千代田区神田佐久間町,1-24,Gato秋葉原ビル3F,https://gg93516.gorp.jp/,True
BEERNOTE 神楽坂,03-6280-7198,,東京都,新宿区津久戸町,1-14,ARTS神楽坂2F,https://gjxu600.gorp.jp/,True
神楽坂 料亭牧,03-3267-3037,,東京都,新宿区神楽坂,4-5,,https://gjxu700.gorp.jp/,True
貸切 カジュアルイタリアン アビヤ 虎ノ門,03-6206-6889,,東京都,港区西新橋,2-14-7,笠井ビル1F,https://abiya.gorp.jp/,True
ダーツ＆ビアポンバーGROVE 上野広小路店,050-5485-4433,,東京都,文京区湯島,3-40-7,カスタムビル4F,https://ggar939.gorp.jp/,True
もつ焼き ひふみ屋,03-6683-1982,,東京都,渋谷区道玄坂,2-25-10,ベニー清建ビル3F,https://gjy0400.gorp.jp/,True
炭火溶岩焼 神戸牛 炭火也,03-6822-2950,,東京都,豊島区西池袋,1-34-4,矢島ビル参番館2F,https://ghzw500.gorp.jp/,True
東北郷土料理居酒屋 仙台牛 鮮魚 牛タン もてなし屋 町田店,03-6705-4035,,東京都,町田市原町田,6-10-10,5F,https://gjfp500.gorp.jp/,True
中華料理 興隆 東十条店,03-5933-6958,,東京都,北区東十条,2-4-8,,https://gjxy000.gorp.jp/,True
新宿 全席個室居酒屋 あじ彩【壱号館】,03-6233-7077,,東京都,新宿区歌舞伎町,1-17-13,J1ビル5F,https://gjxx900.gorp.jp/,True
全席個室 楽蔵うたげ 有楽町駅前店,050-2018-8861,,東京都,千代田区有楽町,2-3-5,aune有楽町3F,https://rakuzo.dkdining.com/yurakucho/,True
焼き鳥居酒屋 かっちん屋 八丁堀,03-5542-0204,,東京都,中央区八丁堀,3-9-5,KSビル1F,https://gj01301.gorp.jp/,True
少人数貸切×記念日 meat＆wine BACCHUS,03-5289-9323,,東京都,千代田区神田東松下町,49,,https://ggpn800.gorp.jp/,True
魚座 池袋店,03-6907-3936,,東京都,豊島区西池袋,1-23-6,B1F,https://ggpb114.gorp.jp/,True
全席個室 和食や あたらよ 新宿東口駅前店,050-2018-8909,,東京都,新宿区新宿,3-26-6,FFビル8F,https://atarayo.dkdining.com/shinjuku/,True
個室完備中華 新荘園 田町ステーションタワーS店,03-6459-4858,,東京都,港区芝浦,3-1-21,msb Tamachi田町ステーションタワーS2F,https://gb1t009.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 新宿東口店,050-2018-8895,,東京都,新宿区新宿,3-26-2,新宿第二ビル2F,https://rakuzo.dkdining.com/shinjuku/,True
黒毛和牛焼肉 スタミナ 上野・御徒町,03-5817-8021,,東京都,台東区上野,4-2-5,鈴木ビル1F・3F,https://gf3y404.gorp.jp/,True
WAGYU YAKINIKU ‐SHOGUN‐ Shibuya,03-6416-4336,,東京都,渋谷区宇田川町,13-8,ちとせ会館3F,,
全席個室 じぶんどき 有楽町日比谷店,050-2018-8863,,東京都,千代田区有楽町,1-6-8,松井ビル3～4F,https://jibundoki.dkdining.com/hibiya/,True
全席個室 鮨と酒日和 ととうお 新丸の内センタービル店,050-2018-8847,,東京都,千代田区丸の内,1-6-2,新丸の内センタービルディング3F,https://totouo.dkdining.com/marunouchi/,True
Wedding＆貸切パーティー GINZA ROOTS TOKYO 【銀座ルーツ東京】,050-5484-1754,info@ginzaroots.com,東京都,中央区銀座,2-4-18,アルボーレ銀座 7F,https://roots-tokyo.owst.jp/,True
全席個室 楽蔵うたげ 八重洲店,050-2018-8849,,東京都,中央区日本橋,3-2-16,マスヤビル1～4Ｆ,https://rakuzo.dkdining.com/yaesu/,True
全席個室 旨いマグロと信玄どり 海鮮居酒屋 魚政 飯田橋本店,080-9810-6884,,東京都,千代田区飯田橋,4-9-8,飯田場プラザ4F,https://gj00202.gorp.jp/,True
個室Dining SHINSOUEN‐新荘園‐ 飯田橋店,03-6380-8879,,東京都,千代田区飯田橋,3-10-9,アイガーデンテラス2F,https://shinsouen.jp/index.html,True
やきとり家すみれ 新宿西口店,03-6279-0669,,東京都,新宿区西新宿,1-12-7,第二清新ビル4F,https://gayx208.gorp.jp/,True
個室ダイニング ウメ子の家 新宿東口店,050-2018-8894,,東京都,新宿区新宿,3-17-5,ニュー富士ビル8・9F,https://umeko.dkdining.com/shinjyukuhigashi/,True
仙台牛タンと焼き鳥 完全個室居酒屋 昇和宴 神田駅前店,03-6635-1686,,東京都,千代田区神田鍛冶町,3-3-3,松見ビルB1,https://gjgh800.gorp.jp/,True
全席個室 じぶんどき 丸の内センタービル店,050-2018-8901,,東京都,千代田区丸の内,1-6-1,丸の内センタービルディングB1,https://jibundoki.dkdining.com/marunouchi_center_building/,True
個室居酒屋 京 目黒店,03-4241-4642,,東京都,品川区上大崎,2-12-7,目黒I-Nビル6F,https://gg9t310.gorp.jp/,True
全席個室 じぶんどき 浜松町駅前店,050-2018-8854,,東京都,港区浜松町,1-30-11,浜松町FGビル2F,https://jibundoki.dkdining.com/hamamatsucho/,True
丸安水産 新宿店,03-6273-2188,,東京都,新宿区新宿,3-35-9,永和商事ビル2F,https://ggpb106.gorp.jp/,True
全席個室 ウメ子の家 日本橋八重洲店,050-2018-8852,,東京都,中央区日本橋,2-3-18,江間忠さくらビル3F,https://umeko.dkdining.com/nihonbashi/,True
全席個室 夢や京町しずく 八重洲店,050-2018-8853,,東京都,中央区日本橋,3-2-17,日本橋三丁目ビル2F,https://kyomachi.dkdining.com/yaesu/,True
焼肉上野太昌園 別館,03-3831-5335,,東京都,台東区上野,2-5-4,,https://taishoen.co.jp/,True
黒毛和牛A4A5 焼肉ありらん 新宿本店,03-3344-6068,,東京都,新宿区西新宿,1-16-9,,https://e763100.gorp.jp/,True
テラスBBQ＆ビアガーデン BISTRO KOUZO,03-3830-7000,,東京都,文京区湯島,4-6-17,,https://g807007.gorp.jp/,True
焼肉ホルモンたけ田 新宿店,050-1792-0383,,東京都,新宿区歌舞伎町,1-16-1,今宮ビル 4階,https://gj5x200.gorp.jp/,True
NO1焼肉しゃぶしゃぶ 新宿歌舞伎町店,03-6886-8513,,東京都,新宿区歌舞伎町,1-8-3,FCCビル1F,https://gf3y400.gorp.jp/,True
全席個室 湊一や 日本橋八重洲店,050-2018-8851,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,https://minatoichiya.dkdining.com/nihonbashi/,True
全席個室居酒屋 黒毛和牛と港直送朝獲れ鮮魚 華の粋 新橋本店,03-6380-1859,,東京都,港区新橋,3-6-1,碧山ビル2F,https://gfba302.gorp.jp/,True
めしや 一之助 上野店,03-6628-8322,,東京都,台東区上野,4-6-9,パサージュビル3F,https://ggf9214.gorp.jp/,True
旬の鮮魚と個室 楽の宴 神田総本店,03-5295-3686,,東京都,千代田区内神田,3-10-3,神田ロイヤルビルB1,https://rakunoutagegdcg300.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 池袋西口店,050-2018-8898,,東京都,豊島区西池袋,1-21-1,YKDビル3F,https://rakuzo.dkdining.com/ikebukuro/,True
全席個室 和食や あたらよ 品川駅前店,050-2018-8899,,東京都,港区港南,2-6-9,DKビル6F,https://atarayo.dkdining.com/shinagawa/,True
全席個室 じぶんどき 新宿東口駅前店,050-2018-8897,,東京都,新宿区新宿,3-36-10,ミラザビル5F,https://jibundoki.dkdining.com/shinjuku/,True
蒸しと酒 みちる 品川駅前店,050-2018-8874,,東京都,港区港南,2-6-9,DKビル 7～8F,https://michiru.dkdining.com/shinagawa/,True
鉄板焼き鳥と肉寿司 個室UMIバル×肉酒場 310 秋葉原店,03-6384-0010,,東京都,千代田区神田佐久間町,1-19,山中ビル2F,https://gf34807.gorp.jp/,True
